conv_id,turn_id,bertqpp_bi_oof
food_level3_dial26,1,0.49325352907180786
food_level3_dial26,2,0.42835092544555664
food_level3_dial26,3,0.6046559810638428
food_level3_dial26,4,0.7817238569259644
food_level3_dial26,5,0.6235061287879944
food_level3_dial26,6,0.7268610596656799
hobby_level1_dial16,1,0.7245270609855652
hobby_level1_dial16,2,0.5173810720443726
hobby_level1_dial16,3,0.3283444344997406
hobby_level1_dial16,4,0.5807157754898071
hobby_level1_dial16,5,0.7310880422592163
hobby_level1_dial16,6,0.4199412167072296
top25_dial5,1,0.3741111755371094
top25_dial5,2,0.40258216857910156
top25_dial5,3,0.4818972945213318
food_level2_dial36,1,0.7388138771057129
food_level2_dial36,2,0.39638134837150574
food_level2_dial36,3,0.7525391578674316
food_level2_dial36,4,0.4184780716896057
food_level2_dial36,5,0.5233166813850403
food_level3_dial27,1,0.32843488454818726
food_level3_dial27,2,0.5656740069389343
food_level3_dial27,3,0.6382038593292236
food_level3_dial27,4,0.3956812024116516
food_level3_dial27,5,0.4845728874206543
food_level3_dial27,6,0.7522305846214294
food_level2_dial37,1,0.36037513613700867
food_level2_dial37,2,0.7224758267402649
food_level2_dial37,3,0.5494778156280518
food_level2_dial37,4,0.20163412392139435
food_level2_dial37,5,0.4339982867240906
food_level2_dial37,6,0.7748245000839233
food_level2_dial12,1,0.4918881058692932
food_level2_dial12,2,0.4164476692676544
food_level2_dial12,3,0.25032955408096313
food_level2_dial12,4,0.29870128631591797
food_level2_dial12,5,0.29479920864105225
food_level2_dial12,6,0.48664557933807373
hobby_level2_dial2,1,0.3027459979057312
hobby_level2_dial2,2,0.2561419904232025
hobby_level2_dial2,3,0.22333645820617676
hobby_level2_dial2,4,0.308488130569458
hobby_level2_dial2,5,0.3604229986667633
hobby_level2_dial2,6,0.24677391350269318
hobby_level3_dial33,1,0.5053099393844604
hobby_level3_dial33,2,0.48972851037979126
hobby_level3_dial33,3,0.3084535598754883
hobby_level3_dial33,4,0.5887161493301392
hobby_level3_dial33,5,0.14002835750579834
hobby_level3_dial33,6,0.05110059678554535
food_level1_dial1,1,0.5093099474906921
food_level1_dial1,2,0.48376041650772095
hobby_level1_dial17,1,0.7584102749824524
hobby_level1_dial17,2,0.4215187430381775
hobby_level1_dial17,3,0.4708385169506073
hobby_level1_dial17,4,0.5422717332839966
hobby_level1_dial17,5,0.38115566968917847
hobby_level1_dial17,6,0.48162025213241577
top25_dial23,1,0.3851204514503479
top25_dial23,2,0.40536803007125854
top25_dial23,3,0.4340986907482147
top25_dial23,4,0.43544265627861023
top25_dial23,5,0.19904187321662903
top25_dial23,6,0.25487959384918213
food_level3_dial28,1,0.3256321847438812
food_level3_dial28,2,0.42350316047668457
food_level3_dial28,3,0.722149670124054
food_level3_dial28,4,0.2550491690635681
food_level3_dial28,5,0.6234491467475891
food_level3_dial28,6,0.8043791055679321
hobby_level2_dial20,1,0.4578568935394287
hobby_level2_dial20,2,0.5900646448135376
hobby_level2_dial20,3,0.5092530250549316
hobby_level2_dial20,4,0.45011264085769653
hobby_level2_dial20,5,0.3219645321369171
hobby_level2_dial20,6,0.5182154774665833
top25_dial50,1,0.3973942995071411
top25_dial50,2,0.5534037947654724
top25_dial50,3,0.18119403719902039
top25_dial50,4,0.43528974056243896
top25_dial50,5,0.28134244680404663
top25_dial50,6,0.29392939805984497
hobby_level3_dial34,1,0.5830778479576111
hobby_level3_dial34,2,0.3778998553752899
hobby_level3_dial34,3,0.46983182430267334
hobby_level3_dial34,4,0.41645461320877075
hobby_level3_dial34,5,0.015992647036910057
hobby_level3_dial34,6,0.20355519652366638
food_level1_dial10,1,0.8027248382568359
food_level1_dial10,2,0.6049385666847229
food_level1_dial10,3,0.5855146050453186
food_level1_dial10,4,0.3973318338394165
food_level1_dial10,5,0.4464070796966553
food_level1_dial10,6,0.5891643166542053
food_level2_dial38,1,0.6475030183792114
food_level2_dial38,2,0.31140637397766113
food_level2_dial38,3,0.6311154365539551
food_level2_dial38,4,0.37737226486206055
food_level2_dial38,5,0.34832316637039185
food_level2_dial38,6,0.07542766630649567
food_level2_dial38,7,0.6598917245864868
top25_dial24,1,0.40598952770233154
top25_dial24,2,0.5564945936203003
top25_dial24,3,0.33664125204086304
top25_dial24,4,0.4830995202064514
top25_dial24,5,0.5000144839286804
top25_dial24,6,0.5109368562698364
food_level3_dial29,1,0.7701975703239441
food_level3_dial29,2,0.48984968662261963
food_level3_dial29,3,0.48552343249320984
food_level3_dial29,4,0.4944995045661926
food_level3_dial29,5,0.5035276412963867
food_level3_dial29,6,0.5337973833084106
hobby_level2_dial9,1,0.3241306245326996
hobby_level2_dial9,2,0.38679686188697815
hobby_level2_dial9,3,0.11089629679918289
hobby_level2_dial9,4,0.5830711126327515
hobby_level2_dial9,5,0.6593024730682373
top25_dial51,1,0.5519235730171204
