conv_id,turn_id,clarity,num_documents
food_level3_dial26,1,2.8940042805012895,100
food_level3_dial26,2,2.6810012093344846,100
food_level3_dial26,3,2.5560722232416486,100
food_level3_dial26,4,3.9543840658442893,100
food_level3_dial26,5,3.648421178559817,100
food_level3_dial26,6,3.428446264432732,100
hobby_level1_dial16,1,2.9171150945841067,100
hobby_level1_dial16,2,2.975637541890674,100
hobby_level1_dial16,3,2.1079077576556284,100
hobby_level1_dial16,4,2.706192131428344,100
hobby_level1_dial16,5,3.1036180877523107,100
hobby_level1_dial16,6,2.690716270683085,100
top25_dial5,1,3.2060503568431127,100
top25_dial5,2,2.6092293532649626,100
top25_dial5,3,2.517222025438835,100
food_level2_dial36,1,3.0504741938743853,100
food_level2_dial36,2,2.859084336100413,100
food_level2_dial36,3,2.494974383002577,100
food_level2_dial36,4,2.8320406662485103,100
food_level2_dial36,5,4.2596288049998785,100
food_level3_dial27,1,3.0034149034365414,100
food_level3_dial27,2,2.21934116329729,100
food_level3_dial27,3,2.2289407692499306,100
food_level3_dial27,4,3.855582069133227,100
food_level3_dial27,5,3.40936655220237,100
food_level3_dial27,6,2.9379067901533706,100
food_level2_dial37,1,2.8447289260773263,100
food_level2_dial37,2,3.2982400960162392,100
food_level2_dial37,3,2.824706462299712,100
food_level2_dial37,4,4.313176616936047,100
food_level2_dial37,5,4.0390523078281335,100
food_level2_dial37,6,2.967054485839089,100
food_level2_dial12,1,2.7220938859860664,100
food_level2_dial12,2,2.669144458957356,100
food_level2_dial12,3,2.629672084718214,100
food_level2_dial12,4,2.381746872209702,100
food_level2_dial12,5,3.3875460417589323,100
food_level2_dial12,6,2.467162193376904,100
hobby_level2_dial2,1,2.1077169685080817,100
hobby_level2_dial2,2,1.666816330948609,100
hobby_level2_dial2,3,2.6178513638797383,100
hobby_level2_dial2,4,2.376268195132591,100
hobby_level2_dial2,5,2.2701582331541466,100
hobby_level2_dial2,6,1.97846065200648,100
hobby_level3_dial33,1,2.396582774367898,100
hobby_level3_dial33,2,2.0338055554993417,100
hobby_level3_dial33,3,2.6084549807388795,100
hobby_level3_dial33,4,2.7752893017310525,100
hobby_level3_dial33,5,3.9845509458963004,100
hobby_level3_dial33,6,2.1026873649926316,100
food_level1_dial1,1,2.708281879295996,100
food_level1_dial1,2,2.870415976538078,100
hobby_level1_dial17,1,3.0258979926946474,100
hobby_level1_dial17,2,2.759703143789534,100
hobby_level1_dial17,3,3.7170210576780818,100
hobby_level1_dial17,4,2.9485416151317114,100
hobby_level1_dial17,5,3.5741618677509046,100
hobby_level1_dial17,6,3.0578693683356764,100
top25_dial23,1,2.252077580917872,100
top25_dial23,2,2.0693780181733197,100
top25_dial23,3,2.1407840799671027,100
top25_dial23,4,2.216851265554605,100
top25_dial23,5,3.0324538555796985,100
top25_dial23,6,2.155283171159397,100
food_level3_dial28,1,2.6828077392933927,100
food_level3_dial28,2,2.7763131077126486,100
food_level3_dial28,3,2.843088110896171,100
food_level3_dial28,4,2.4488403626768758,100
food_level3_dial28,5,2.788844940549584,100
food_level3_dial28,6,3.7413976209818913,100
hobby_level2_dial20,1,3.5626503970170256,100
hobby_level2_dial20,2,3.03014018612737,100
hobby_level2_dial20,3,2.757879980503201,100
hobby_level2_dial20,4,3.7169401557063497,100
hobby_level2_dial20,5,3.0846861945873107,100
hobby_level2_dial20,6,2.6580998782036898,100
top25_dial50,1,2.008613284519952,100
top25_dial50,2,2.355387276612645,100
top25_dial50,3,2.542302446309204,100
top25_dial50,4,2.5327724420312827,100
top25_dial50,5,3.1092339963435625,100
top25_dial50,6,1.9221795667823807,100
hobby_level3_dial34,1,2.2884658456379063,100
hobby_level3_dial34,2,1.964689648810455,100
hobby_level3_dial34,3,2.062995056247535,100
hobby_level3_dial34,4,2.2550947404544233,100
hobby_level3_dial34,5,2.8392994452437184,100
hobby_level3_dial34,6,3.9328360098514197,100
food_level1_dial10,1,2.882711932579005,100
food_level1_dial10,2,3.0394598878030257,100
food_level1_dial10,3,2.9185968314274096,100
food_level1_dial10,4,4.6144752819161425,100
food_level1_dial10,5,1.7995905299695805,100
food_level1_dial10,6,3.9288232898645807,100
food_level2_dial38,1,2.9721767621081074,100
food_level2_dial38,2,2.6788542119457643,100
food_level2_dial38,3,4.255285307038171,100
food_level2_dial38,4,3.4506352567894676,100
food_level2_dial38,5,4.229923441055566,100
food_level2_dial38,6,4.0139227931163495,100
food_level2_dial38,7,2.747691561582809,100
top25_dial24,1,2.8077061401777024,100
top25_dial24,2,2.600337995679621,100
top25_dial24,3,2.8734641177279574,100
top25_dial24,4,2.594033428165904,100
top25_dial24,5,2.245392700907496,100
top25_dial24,6,1.9213394220413373,100
food_level3_dial29,1,2.3098149979437723,100
food_level3_dial29,2,2.287725541743407,100
food_level3_dial29,3,3.197795256048727,100
food_level3_dial29,4,2.622127238676766,100
food_level3_dial29,5,3.5746005259534317,100
food_level3_dial29,6,3.5834846398398605,100
hobby_level2_dial9,1,3.2500863091306815,100
hobby_level2_dial9,2,3.730745701948233,100
hobby_level2_dial9,3,3.132051307846852,100
hobby_level2_dial9,4,1.9116907162458998,100
hobby_level2_dial9,5,2.970793293818323,100
top25_dial51,1,1.8847648852196217,100
top25_dial51,2,2.3793405903587947,100
top25_dial51,3,2.103327580432262,100
top25_dial51,4,2.3307126466023043,100
top25_dial51,5,3.042745025188426,100
top25_dial51,6,2.124785845732966,100
hobby_level3_dial35,1,4.381682703956223,100
hobby_level3_dial35,2,2.4840982214535043,100
hobby_level3_dial35,3,2.3691226737954563,100
hobby_level3_dial35,4,2.716419632638803,100
hobby_level3_dial35,5,2.6415049766623215,100
hobby_level3_dial35,6,3.540020692557981,100
hobby_level3_dial35,7,2.5025779567782225,100
food_level1_dial11,1,2.6718593541032076,100
food_level1_dial11,2,4.067358484069271,100
food_level1_dial11,3,2.7689932819733833,100
food_level1_dial11,4,2.6452617127039355,100
food_level1_dial11,5,2.8237312551542337,100
food_level1_dial11,6,3.5401622585249104,100
hobby_level2_dial21,1,2.47586275469499,100
hobby_level2_dial21,2,1.634947548646256,100
hobby_level2_dial21,3,2.330091178111778,100
hobby_level2_dial21,4,2.9908485906682736,100
food_level2_dial4,1,3.3115750327677262,100
food_level2_dial4,2,3.8482443392040064,100
food_level2_dial4,3,3.821420567845932,100
food_level2_dial4,4,3.241073092227557,100
food_level2_dial4,5,2.935848490800933,100
food_level2_dial4,6,3.6867295466832886,100
hobby_level3_dial1,1,2.6640665171462516,100
hobby_level3_dial1,2,1.5301826449231337,100
hobby_level3_dial1,3,1.9505928895236975,100
hobby_level3_dial1,4,4.324876567160483,100
hobby_level3_dial1,5,2.9977401267718666,100
hobby_level3_dial1,6,2.3988053160350353,100
hobby_level1_dial18,1,2.501806183510359,100
hobby_level1_dial18,2,2.3317389698177706,100
hobby_level1_dial18,3,2.3722643737716482,100
hobby_level1_dial18,4,1.9827684296272283,100
hobby_level1_dial18,5,1.944172590736492,100
hobby_level1_dial18,6,2.2408312157036296,100
food_level1_dial12,1,3.723421899498593,100
food_level1_dial12,2,3.3147670868777723,100
food_level1_dial12,3,3.5542238308390335,100
food_level1_dial12,4,3.2653613463266256,100
food_level1_dial12,5,2.3897910836458403,100
food_level1_dial12,6,3.8801406266826,100
top25_dial52,1,2.234086724189196,100
top25_dial52,2,1.7733669652848847,100
hobby_level3_dial36,1,2.546835567900555,100
hobby_level3_dial36,2,3.002935869079413,100
hobby_level3_dial36,3,2.0879587127743733,100
food_level3_dial3,1,2.457460317601886,100
food_level3_dial3,2,3.0134163269426977,100
food_level3_dial3,3,4.440535469886591,100
food_level3_dial3,4,3.666891988127909,100
food_level3_dial3,5,2.626249615523407,100
food_level3_dial3,6,3.0652610974915784,100
hobby_level2_dial22,1,1.5676244155144832,100
hobby_level2_dial22,2,1.8388834550447706,100
hobby_level2_dial22,3,2.1680912494482545,100
hobby_level2_dial22,4,2.385443328446862,100
hobby_level2_dial22,5,4.665773606734807,100
hobby_level2_dial22,6,2.0503339124455526,100
food_level2_dial5,1,3.519519763646639,100
food_level2_dial5,2,2.6081990869516667,100
food_level2_dial5,3,4.2540188620376185,100
food_level1_dial13,1,2.417816869348626,100
food_level1_dial13,2,3.1164312675707917,100
food_level1_dial13,3,4.408350501228351,100
hobby_level3_dial37,1,2.2730018671484546,100
hobby_level3_dial37,2,2.0572302014841752,100
hobby_level3_dial37,3,2.260959909743998,100
hobby_level3_dial37,4,2.951463968672209,100
hobby_level3_dial37,5,3.346814500198594,100
hobby_level3_dial37,6,2.785802534516211,100
hobby_level3_dial10,1,3.214355904527135,100
hobby_level3_dial10,2,3.1298174001637094,100
hobby_level3_dial10,3,2.326759153143945,100
hobby_level3_dial10,4,4.474525352649988,100
food_level2_dial13,1,2.9510580137963784,100
food_level2_dial13,2,2.402961139133982,100
food_level2_dial13,3,3.900946174774147,100
food_level2_dial13,4,2.523092444685364,100
food_level2_dial13,5,2.8148824910707426,100
food_level2_dial13,6,2.36265301470524,100
food_level3_dial30,1,2.4627877763715627,100
food_level3_dial30,2,2.610893782333616,100
food_level3_dial30,3,3.65104977395114,100
food_level3_dial30,4,2.8641253666175874,100
food_level3_dial30,5,2.942569230653944,100
food_level3_dial30,6,2.2126486159791052,100
food_level3_dial30,7,2.3785593820900726,100
food_level1_dial14,1,4.064035466196469,100
food_level1_dial14,2,4.454118727869743,100
food_level1_dial14,3,3.8796100159156044,100
food_level1_dial14,4,3.6837860899518966,100
food_level1_dial14,5,3.421786289901247,100
food_level1_dial14,6,3.529670445569448,100
hobby_level1_dial19,1,1.8303339866897927,100
hobby_level1_dial19,2,2.5932753856043425,100
hobby_level1_dial19,3,3.079968814406153,100
hobby_level1_dial19,4,2.344344327305829,100
hobby_level1_dial19,5,2.9706253908496256,100
hobby_level1_dial19,6,2.560775633566298,100
top25_dial53,1,2.239984661456301,100
top25_dial53,2,1.8179115938591714,100
top25_dial53,3,3.3761921250022646,100
top25_dial53,4,1.9294004054994196,100
top25_dial53,5,3.2415585713997994,100
top25_dial53,6,2.50392708953979,100
food_level3_dial31,1,4.750062471059943,100
food_level3_dial31,2,2.7345304474769367,100
food_level3_dial31,3,2.541256788625537,100
food_level3_dial31,4,2.842010539336051,100
food_level3_dial31,5,2.9403304370511285,100
food_level3_dial31,6,1.9475116243850272,100
hobby_level1_dial2,1,2.3979437578300766,100
hobby_level1_dial2,2,2.8726651669270606,100
hobby_level1_dial2,3,4.016724117604294,100
hobby_level1_dial2,4,2.4733736165648676,100
