label,Clarity,NQC,SMV,WIG,nSigma,ENet,L1,L2,LogReg
0,1.8337227562717284,0.093986493084483,0.8147173546075323,1.2130481719970698,0.3191232823313609,0.4993409679188829,0.499933301147304,0.4982427842345615,0.4993620697513168
1,1.7348477416545771,0.1195546204806062,1.4090812038779474,1.9238720893859855,0.4196845845212132,0.4920680902338668,0.506359914964059,0.5039632133773181,0.4915146003905561
0,1.8680787651297348,0.0651155505103676,0.6055482870559005,0.9642140197753912,0.2460789074780486,0.4953286881646089,0.49166555091137715,0.4919841488582552,0.49551265937452094
1,3.2940637263292096,0.1903702473615317,7.694878209942842,4.124688968658448,0.9329764072094148,0.5322161248063135,0.5348584538502541,0.5354724208155078,0.5321377592067426
0,1.377884327297355,0.0733203089698214,0.3993793280423655,0.8599942779541019,0.2234332473140371,0.500079222169974,0.4967870726077757,0.495912935550869,0.500241053040646
0,1.4337769553973303,0.0702934306491921,0.3487747063474613,0.8259322738647461,0.2087985591268116,0.49640966397303027,0.49385027649222096,0.49321927730630605,0.49656024559416084
0,1.785151364788966,0.0859117698298793,1.410660981032776,1.7263478469848628,0.4199197811833791,0.5125664653529768,0.5113654984029845,0.5111924873781285,0.5124813267965336
0,2.662764074089486,0.1198793352686081,2.267381296120454,1.770798091888429,0.5019275397151414,0.5143937098664997,0.5096516586851472,0.507894917204721,0.514620591730725
1,1.384406762484766,0.0773508061311116,0.4582890783159268,0.9759559440612784,0.2393452209455849,0.49800129563227225,0.49737366793284915,0.49637166821966694,0.4980536763145699
0,3.144180773357491,0.226350198672348,5.812756821598623,2.479928073883056,1.0293060784343588,0.6317103652521793,0.582983876507371,0.5752711689920165,0.6334307106210939
1,1.6747428902380117,0.0876910151193585,0.8973279190299417,1.3868160438537598,0.33491191361124,0.5009663103052965,0.5028540252699946,0.5018532089604727,0.5008672276381675
1,1.5994152776105497,0.0624322985698081,0.8471526779409705,1.3400939369201654,0.2775137470699704,0.49335496754061287,0.4954999010023355,0.49660925640170617,0.49322667733038766
0,1.656392202381061,0.0599592498246385,0.4568848821603906,0.9454319190979013,0.2389782631748101,0.4990902499302368,0.49448040340171145,0.4949139425770602,0.49926318861250163
1,2.264026267658513,0.0859067762219129,1.4392169572771,1.9092440032958984,0.3793701302523829,0.4785323310352365,0.4922441010459677,0.49300262544307033,0.4780068216793141
