conv_id,turn_id,avgidf,num_terms
-4469503464110108318,1,5.75246946100211,6
4790842463458965203,1,6.257301250830442,7
-6631915997977101143,1,4.094059382649781,5
-3098213414945179817,1,3.7330524044297086,5
-927805218867163489,1,3.5890720199829538,6
-8765341210106443690,1,5.414666475387857,6
-8984315366060644345,1,5.172458691186113,6
-3359151041540098032,1,4.262451881840692,7
6601536662148726350,1,7.282721040283375,7
-4757397641844293607,1,5.082463921179029,5
-6857918454805495301,1,6.3967235399548565,5
-4132174036373265970,1,4.135436814343805,5
1561260788294720798,1,3.9605777056461733,7
-3609553841261159056,1,6.486377741749891,4
128788970421661020,1,3.728151522657345,6
4722519916015127979,1,5.2882860960457885,7
-1911980845281550523,1,5.078534361269185,8
-8524801800420428358,1,3.25585402094596,9
4776000106366522865,1,6.8982683168815955,6
4723481094198751540,1,5.426665285606437,7
-7461719336882424985,1,6.013323470342484,7
6629199459601104475,1,5.681720875262643,5
-1688500492894023725,1,3.5394419278893596,6
-4920697783415402962,1,8.211320303533205,5
-4950316745090894056,1,4.9266170469603265,6
-8652199953083038138,1,8.115977062132721,8
7030758716024791080,1,3.5632377041837993,7
1237920926774398276,1,4.817965846513238,8
4737873499269724327,1,4.801769835990359,5
4123548744340087331,1,5.582028722562707,6
-3430387669519489370,1,4.771157696412162,7
6389345907245133102,1,4.811067440219243,7
7063169977317265636,1,5.53911690988151,6
-1672733591597131629,1,6.25436698246926,6
3459755935653104243,1,6.107334109042401,7
-7563488770313519534,1,6.165765826508962,6
3630976503357786326,1,3.194383841878344,5
5998037098651415370,1,4.388145822771278,8
7208068189874944399,1,5.561474377278652,7
-3713688239328074547,1,7.726798501583759,6
2034739379280412436,1,6.412817338331636,6
8651809831547260844,1,4.083912638240325,7
1533477128984345682,1,8.382207685944916,8
-5492391637682725131,1,9.180210418374159,7
-2558199766533138150,1,6.61995036213661,12
-6363994615218497826,1,5.81622085640345,7
3855307908076704970,1,7.640720688263175,5
4063304367414770942,1,3.385021474633503,6
-4110639543763413474,1,3.771617291096047,7
5150378125952226530,1,3.2942364573527625,8
-229557364858904345,1,3.729611074754787,5
-6875166619428307308,1,5.1543289895131785,11
5693531505008967478,1,7.056865081350625,6
7754002205765507756,1,6.137080798000813,5
-3944861237014469052,1,5.2817072844898485,9
-2590664031903851316,1,5.6202995391621196,8
3204171409264914923,1,6.013265414121456,6
3240942651859718397,1,5.1874430371755915,6
2094392886389474592,1,5.38237563546533,5
4113432615092381478,1,4.262556702729031,5
-1617571755505770769,1,6.184154446376562,7
-5968852733411945019,1,5.394587381748145,6
9118807424034544000,1,4.552828589198553,5
6915912596627348551,1,3.5508419770715713,7
1332897475571730747,1,5.502774044546231,5
-4283713808554560002,1,7.434917728423943,5
1109919554091311092,1,7.841544775880138,5
8505647719348789352,1,10.680705162950538,5
-8086186598590428328,1,5.815681226142047,6
2217144977440365678,1,5.306000597712979,7
3141501970999254639,1,5.239979446403289,7
6267368935580291991,1,5.428164405751204,7
2375410666129136218,1,5.872989505443336,5
-1120514028652364195,1,6.789902922103453,5
369553729358573631,1,7.4561549670705665,7
-3521200059945079578,1,4.950470114287476,6
-228017844504433803,1,8.9529095842685,5
-6567021105969776914,1,5.275804504344005,7
3191215928530494096,1,5.699374388163885,7
-2071940157427414850,1,7.496034286522209,9
-3800524559144424177,1,6.792956914710243,5
-6839117089970381436,1,6.471183263300676,5
-4490620988150231901,1,5.47015170015679,7
1022217780810569079,1,5.798939675427889,5
-862554052027960093,1,4.144140831401596,6
-3516190339598522976,1,6.765665829938571,7
-7748524737773999409,1,6.1525925322168025,5
3388798511401254812,1,6.609330082781249,9
1459126538041943679,1,9.1169866658512,4
-8834069158837396685,1,4.313835546468607,5
-1757904552409029500,1,6.988187349090455,6
1004431282200370974,1,6.887731730933503,7
8184930622224282678,1,3.4742225037116365,6
8631327196287980755,1,9.61204840948394,6
-2593355371932719161,1,7.728395579273676,5
2837484115382116119,1,4.9135767089184705,6
7199599312216372048,1,5.377770813871867,7
-8850169184954446631,1,7.044156765056746,5
-3897740693502172696,1,5.152179332206604,8
-3471432714621884410,1,5.4951801506047575,6
6373189865465953269,1,5.27507717738778,7
8092598956660291215,1,4.116149280659322,5
62966941368680868,1,5.725669865425629,7
5133876537670324411,1,6.0073172933000425,7
8932763630388059887,1,5.413902928302953,8
8923681797804610584,1,5.336690350084984,5
-2938945366077744797,1,4.379581982607237,8
3527566788119942912,1,7.684680636515468,5
618489770509518870,1,9.508603617466543,5
-652117253746563674,1,4.823355268502116,4
-2633917229646894638,1,4.7443442292020945,7
-5955439966878959532,1,9.23153763078776,9
-586025167603300600,1,3.9626294768464416,7
4647818796298534404,1,5.444861496471244,6
-7869146853815250428,1,4.0032091462001445,6
7125146488385376967,1,7.429357401498057,8
-6760592683069308709,1,4.613846809384533,6
-2701905006672196275,1,3.9437517231547043,8
-4268291779673036451,1,4.3488458949733575,6
6635381132510830269,1,7.08056328979662,4
6906756762659846441,1,6.2088708859548944,7
41813383673449160,1,4.948553433972518,6
5736313144411923989,1,4.996919464683511,8
2437211415582489495,1,5.009456494614291,5
4121961896432917626,1,4.703624208516893,7
3624155410679767933,1,3.920837261381893,6
5277039265479571506,1,4.5364182301205895,6
-3139712300447252950,1,4.455065151803247,7
-2433903014343400592,1,5.499309735974989,7
8509594427725708011,1,5.718321755564736,7
637466759495656530,1,4.369436665693921,6
4388511442090327281,1,5.4981213482831715,7
4017581325391763586,1,4.674690949310751,10
-970242290152935238,1,4.453846504286433,9
-3051966899537699923,1,3.8839815598490754,7
9031064052174526065,1,5.132583148585072,5
5024251034005721621,1,2.665325710069718,8
-2931155045227159791,1,7.251749427524454,6
5872845962420620183,1,3.4243157217872504,6
3366606900654441491,1,9.199422411220715,6
3475414091580580387,1,4.534456632015627,4
8704046441982292961,1,4.605714229606422,8
5297174100764498711,1,5.078142702806877,8
2461403814842235149,1,5.533907240614686,7
