conv_id,turn_id,avgidf,num_terms
food_level3_dial26,1,6.125011548000147,5
food_level3_dial26,2,3.5678184659013135,7
food_level3_dial26,3,4.025655804076153,6
food_level3_dial26,4,7.349742545741779,3
food_level3_dial26,5,2.287105162818732,5
food_level3_dial26,6,5.72831015408267,9
hobby_level1_dial16,1,3.16416358129924,4
hobby_level1_dial16,2,4.915365004059687,7
hobby_level1_dial16,3,5.572921748456937,7
hobby_level1_dial16,4,3.7105470737721378,16
hobby_level1_dial16,5,2.182896179121496,6
hobby_level1_dial16,6,2.922360598020103,11
top25_dial5,1,7.227685153314534,8
top25_dial5,2,5.458544740882471,12
top25_dial5,3,4.447444288521782,12
food_level2_dial36,1,6.520216586365448,5
food_level2_dial36,2,5.869272407673833,5
food_level2_dial36,3,6.5868847866008595,6
food_level2_dial36,4,8.14585261817449,7
food_level2_dial36,5,4.8936752884267944,5
food_level3_dial27,1,5.526505771849915,9
food_level3_dial27,2,1.2227236084270692,3
food_level3_dial27,3,2.066239207499778,6
food_level3_dial27,4,7.151460699863179,7
food_level3_dial27,5,3.120857607905806,7
food_level3_dial27,6,5.981946629729408,5
food_level2_dial37,1,4.0766545355338035,9
food_level2_dial37,2,5.229963301424451,6
food_level2_dial37,3,8.464838820875796,6
food_level2_dial37,4,5.280560429517974,8
food_level2_dial37,5,3.332431613968236,7
food_level2_dial37,6,5.506925655666225,6
food_level2_dial12,1,6.172609213643487,12
food_level2_dial12,2,6.729244004936851,7
food_level2_dial12,3,6.1289051223248,7
food_level2_dial12,4,4.941874317702993,8
food_level2_dial12,5,4.87932716435401,7
food_level2_dial12,6,4.528719973150342,7
hobby_level2_dial2,1,3.4881167061077107,7
hobby_level2_dial2,2,4.905454570561897,9
hobby_level2_dial2,3,3.818268732526821,5
hobby_level2_dial2,4,5.23126034777187,8
hobby_level2_dial2,5,6.2140013395163844,7
hobby_level2_dial2,6,5.839984085353303,7
hobby_level3_dial33,1,4.372639116583259,8
hobby_level3_dial33,2,6.922830569883135,10
hobby_level3_dial33,3,6.519233716238884,7
hobby_level3_dial33,4,6.009145088764303,9
hobby_level3_dial33,5,5.545893843023253,6
hobby_level3_dial33,6,3.5434952985667434,8
food_level1_dial1,1,5.168166945669565,8
food_level1_dial1,2,5.988268045489522,7
hobby_level1_dial17,1,4.006441840475762,7
hobby_level1_dial17,2,4.37709845508563,5
hobby_level1_dial17,3,2.358388167101002,5
hobby_level1_dial17,4,2.863165607539778,5
hobby_level1_dial17,5,4.675071591376319,10
hobby_level1_dial17,6,2.685261295539306,6
top25_dial23,1,5.121962033431256,8
top25_dial23,2,5.388461551403779,8
top25_dial23,3,3.758835408955159,8
top25_dial23,4,4.42564315435378,13
top25_dial23,5,2.6159598933314916,7
top25_dial23,6,5.251274816209097,10
food_level3_dial28,1,5.099861800757116,5
food_level3_dial28,2,7.123501843520312,4
food_level3_dial28,3,6.355051173320437,8
food_level3_dial28,4,6.047616098726596,9
food_level3_dial28,5,5.375326002062667,4
food_level3_dial28,6,4.253943502892718,4
hobby_level2_dial20,1,4.594818624596731,5
hobby_level2_dial20,2,3.3407679624653017,8
hobby_level2_dial20,3,5.85587112934559,6
