label,BERT,Clarity,NQC,SMV,WIG,nSigma,ENet,L1,L2,LogReg
1,-0.2221800982952118,1.1736448721702208,0.032781645213338,6.033659879509656,3.1771821594238348,0.7767663663875809,0.500936388495095,0.4997121358068151,0.5011709047962901,0.5007609802067781
1,-0.4270497262477875,1.193449015417654,0.0153277805624098,1.083487437454169,1.4996282958984335,0.3469690087752266,0.44770592480668014,0.4462772402987592,0.44757756238552177,0.4476651088090708
0,-0.6488317251205444,1.0666434993371527,0.0105526360227623,0.590300457429397,1.2140347290039113,0.2561033770069763,0.3567382676388928,0.36347866855087196,0.36055515508143976,0.3543815573947939
0,-0.08877357095479965,1.129626972231974,0.0387182416007358,8.689429031754845,3.995453186035156,1.0421989392478557,0.5276113971333627,0.5283917087758266,0.5274571117855581,0.5267020189521356
0,-0.2536746561527252,1.2141475817153742,0.0173197235873594,1.639998661520723,1.705923004150385,0.3861227620990179,0.4900594630003451,0.48905188856785886,0.4900053243379367,0.4899231358237799
0,-0.08402295410633087,1.301234754008975,0.0226418498699176,2.75703589516806,2.315198059082037,0.587051519797034,0.5685695367491306,0.5584656904696899,0.5631662499606928,0.5711372747960018
0,-0.706159234046936,1.1562742519994245,0.021974155044823,3.0105179414724925,2.485086669921881,0.5783614730399524,0.38929210767186784,0.38649847359705963,0.3884630304643101,0.38989440179672424
0,-0.6940233111381531,1.2841962080881963,0.0237784795868731,2.7230483944823205,1.976866912841794,0.5834218450746338,0.44407937796719105,0.4302441929585363,0.4381873162699207,0.4472453105425935
0,-0.37901848554611206,1.2002526225566108,0.0278234257083172,4.245550643159216,2.5455795288085894,0.7284873577454188,0.48984688112554964,0.4782481325395304,0.48434839211007846,0.49253296583335376
0,-0.7630236148834229,1.046428488885109,0.0148070986161772,1.229047097471374,1.5642021179199213,0.3695413219220964,0.3399649981961399,0.3414091659363427,0.3415179649707383,0.3392308423863587
0,-0.3801499605178833,1.3386979565558674,0.0418348556725149,9.478267648277637,3.0327378845214774,1.026226509991155,0.5422810960183132,0.5364572263504649,0.5399418824195182,0.5415373016905286
1,-0.3216734826564789,1.172064115011208,0.0251001649274936,4.062038543904759,2.9821780395507744,0.7125691671607008,0.4797991629058745,0.47520452998483026,0.47697960899517206,0.48107869064240233
0,-0.3877333998680115,1.2300937046365414,0.0342100993442028,6.102204388882127,2.947505798339837,0.8234213440734894,0.49640858994049075,0.48777466610235926,0.49313608316301855,0.4979278025343875
0,-0.1578129082918167,1.191223699573152,0.0221208892307177,2.384655938373617,1.5582875061035162,0.5459688565263608,0.5329631164762989,0.5192297972891924,0.5264237868682639,0.5360045880148595
0,-0.07098961621522903,1.1899292112808175,0.0150647409311787,1.0818505376805785,1.4902627563476534,0.3467068146111957,0.5213146216304736,0.5201718767650326,0.5207195669929927,0.5212764855878164
1,-0.02139206975698471,1.1588170387070835,0.0272772749858099,4.407120287600037,3.2601496887207038,0.7422196682586663,0.5380804962871594,0.5336173144552492,0.5352802333745286,0.5396106586257788
1,-0.9390783309936523,1.3708654043576536,0.0141985720084129,1.2098134820792823,1.5711251831054722,0.3888787539322639,0.3958152187110985,0.39191415673868624,0.3940253629051047,0.39611272140877307
1,-0.7885950207710266,1.2951398375454963,0.022452912019946,2.5438926181927037,1.3379606628417915,0.504370163490338,0.4278382117047202,0.4152430591681527,0.4230391688093611,0.4300044567207241
1,-0.12993428111076355,1.1098853379287776,0.0416618866513359,9.835219715827442,4.198343353271482,1.0453717954141932,0.5034764430587213,0.5118316470093024,0.507867327966804,0.5002162491331812
0,-0.5475913882255554,1.126365878858569,0.0232663773480944,2.5085140744217846,1.8439897155761693,0.5279429761317646,0.4239880826794836,0.41456007166532505,0.4207847316036103,0.4261147726405993
1,0.11401350051164627,1.2509248155647592,0.0146031276742547,1.330152956103318,1.866983795166011,0.3477398395487531,0.5671886742027101,0.570577577878232,0.5682051645418845,0.5661431828320485
1,-0.10839047282934189,1.2224213746053123,0.0378994438714312,8.784604424891738,4.758070373535161,0.937262205836325,0.515336245386578,0.5302455731460287,0.5227362282422863,0.5111453366820251
1,-0.7695738673210144,1.4802336798978324,0.0240831046097789,3.906256694394304,3.101065979003906,0.698771841733257,0.47072741245601635,0.46344304996331603,0.46645204458153106,0.47243018441222934
1,-0.6088536381721497,1.1576889315341332,0.0194337055301018,2.1792077422134755,1.8927067565918032,0.5219204611592502,0.41611917156045924,0.409305078401191,0.4130677332058706,0.41756891219207876
1,-0.785658597946167,1.0954706400410197,0.0337945515030666,6.645078435486205,3.80539306640625,0.777237440934014,0.34728422041464296,0.3552214246873787,0.3530410377319234,0.34494728066836605
0,-0.41944101452827454,1.2386337689525826,0.013153879097851,0.9077795549474832,1.4660121154785122,0.3175915537198129,0.4568994355866168,0.4581006148198438,0.4575518396422916,0.45606537827839966
0,-0.7491269111633301,1.2507388416857117,0.0172924022583421,1.852351104741328,1.9571168518066464,0.4536703532474908,0.4016105358883697,0.3989352447258682,0.4006412794583856,0.4019337300844307
0,-0.3474152386188507,1.1925749817447782,0.0133134732319201,1.0657120075546844,1.633068695068361,0.3649849324894598,0.46171278463354887,0.4624871489450357,0.46168029807586336,0.4611759895483794
0,-0.44259947538375854,1.1771538041292413,0.0141848538933584,1.023177357176901,1.526629638671875,0.3049854478163151,0.4314084633747531,0.43452295728787727,0.4336088706666768,0.43015677066447267
