label,AvgICTF,AvgIDF,Clarity,MaxIDF,MaxSCQ,NQC,SClarity,SMV,WIG,nSigma,ENet,L1,L2,LogReg
1,10.008084696216375,5.648204889350967,1.7362391434622475,12.516957022007707,77.63524578438006,0.0473908010471904,8.216325226988321,0.4981814825059609,1.056856060028077,0.2495449564973115,0.5214302284870391,0.5129014291388798,0.5006046796038248,0.5221042083963079
0,10.912292631967649,6.496519671916163,1.2967679590412144,12.584096324845335,70.48630639830569,0.0614297646604061,9.302854719533546,0.3414445498598539,0.9137439346313472,0.2065927606003698,0.5421730843602822,0.5334064042245007,0.5114684653915783,0.5430388440662525
1,11.24091606897174,6.940569481856653,1.6830345372991444,13.8650301703074,81.80563979793956,0.0883614814097406,9.449156599743684,0.5325888031957905,0.9541520595550534,0.2580186047545289,0.44844174756104727,0.4468374427935771,0.44766281577487815,0.4484655008025689
1,11.488294532909334,7.029238680146782,1.354890759277382,16.167615263301446,71.01468192553595,0.0479219413110126,9.54238438385402,0.3508974650355466,0.9946040916442864,0.1786050658539282,0.47032950093184234,0.47025484448591454,0.47388398882472044,0.4702457264303605
1,9.266126153235067,4.820854765545448,1.308571376506612,10.674553819960895,79.47973694038089,0.0571021034470969,7.474366684007013,0.2880107099701378,0.7878261566162115,0.1897401874834828,0.5651919072990361,0.5491633386373602,0.5219397349174865,0.5664313776614297
0,9.3705987592964,5.615262498331753,1.2391984126209687,15.25132453142729,81.99316441138859,0.0572581911156478,7.702675774391843,0.3332141865346837,0.90225996017456,0.1924156919376737,0.4237699209808833,0.4313739503548147,0.45063290518863497,0.42319136074653363
1,8.820102720487558,4.353990696681158,1.7056424236052758,8.828402295936892,79.9481788657401,0.0940625572225637,7.028343251259503,0.9009105105025448,1.389580001831055,0.3355798173502365,0.5805648319591706,0.5722544784173601,0.5423558965308477,0.5813736901072124
0,9.70668932395178,5.336037909907901,1.365814310904342,13.816240006137969,75.4719355302202,0.0526449852764717,7.914929854723725,0.2625040819233228,0.7581799888610843,0.1811436177192432,0.5500881328337194,0.5346316909421567,0.5122848411635383,0.5512362850085762
0,9.918650175742172,5.548775544885368,2.996064160009163,8.370940449241285,81.99316441138859,0.1432661775316316,7.839208634062334,2.4580319796714445,1.6872740554809564,0.5226037355472484,0.4549012005277166,0.4578178875772935,0.49103277415927643,0.4539989704506
1,11.22563848119631,6.799018662417661,1.2837959481622765,16.86076244386139,78.41229527762442,0.0477348979364511,9.146196939516472,0.4519561873129791,1.010237846374511,0.2026991024138038,0.44379805941604666,0.4411176161011313,0.4526495489731979,0.44360383599683695
