label,Clarity,NQC,SMV,WIG,nSigma,ENet,L1,L2,LogReg
0,1.132541169495311,0.0163121519262576,1.4486737634567544,1.4953253173828085,0.3806144720654686,0.5594801580391578,0.5589017666520849,0.5596272072200289,0.5573934856699068
0,1.324591369884088,0.0131235807685337,0.9763523977800272,1.522192687988287,0.3493480352349264,0.643418369147657,0.6438644101279293,0.6427046042029451,0.6472544336823068
1,1.259056129443824,0.0266001709493476,4.280462773408066,2.88715881347656,0.731476484021194,0.6471258867906162,0.6483809033360524,0.6453169144675285,0.6579221196404916
1,1.4058367947280366,0.0279343862083539,4.626251115242922,2.521710357666011,0.7604481503727687,0.7192204630805439,0.7215041732196655,0.7165033709539669,0.7330127074468211
1,1.2509248155647592,0.0146031276742547,1.330152956103318,1.866983795166011,0.3477398395487531,0.5936808144124415,0.5917088780553377,0.5945357738533366,0.587735898085472
1,1.2218042597076977,0.0206018162189087,2.231269712948816,1.9480226135253875,0.52811808728598,0.6198652201981948,0.6202346678213555,0.6187328045782345,0.6272910032233688
1,1.4103621321507154,0.0300221299407087,6.165735081137716,3.6715139770507856,0.8779048269272782,0.7114672708524603,0.7137204317245136,0.7090732608580292,0.7234999039630111
1,1.1398892715121054,0.0118866417039735,0.8100890822338173,1.3334149169921858,0.3182155484561166,0.5626804851248888,0.5638800013267548,0.562242372603792,0.5648897387034658
0,1.584981849908284,0.0208609286382266,3.13972593070569,2.7984423828125014,0.5906423932846987,0.7505462720262919,0.7504302036606347,0.7493252764136101,0.7575017611551456
1,1.3262323206800493,0.0163654776090431,1.5815632499295986,1.9769366455078108,0.4446295157107766,0.6500480958567231,0.6501980363850065,0.6491937240881652,0.6561234494392307
0,1.19533132677027,0.0194795689519197,2.1225067209729227,1.971525268554688,0.5150857599678089,0.6069938798315557,0.6077635047830776,0.6058418059359453,0.6149174875863218
0,1.1466802655098791,0.0204450951001844,2.2983659568122587,2.2150164794921903,0.4794127612832451,0.5603818113819832,0.5579077808508588,0.5612342467181396,0.5553094458622518
1,0.9567714156995316,0.014951605929272,1.1469077572982005,1.631942596435544,0.3786336879653935,0.4806882010403068,0.4808537099366358,0.4810168859054676,0.4803131720324318
0,1.1920114044115937,0.0154895973387315,1.5056477940923712,1.8101686096191447,0.4338271248568332,0.5971917964564443,0.5984968802448609,0.5961589729607828,0.6044931959826573
0,1.2717097035746998,0.0175516189929992,1.6881219274859174,1.924945068359375,0.4330924878752699,0.6205879695984615,0.6194686485162868,0.6204911098082156,0.6213016262482797
1,1.2904227657761058,0.0131521525114258,1.053216491371533,1.5950695800781274,0.3628388918258923,0.6308936994097284,0.6317203585216306,0.6300750280726802,0.6357955244398087
1,1.1693736722191332,0.0301343670527853,5.214574767052073,2.929887237548826,0.807354845084557,0.6183165270225193,0.6201290741687212,0.6162771783552484,0.6288151668450026
0,1.1904554473574605,0.0174310796664965,1.9259358303087004,1.9084718322753875,0.4906546430928657,0.6053863843370147,0.6071928057339412,0.6039099596164633,0.6153386530402047
1,1.1072831084814514,0.012032110438955,0.8139550446803391,1.290613555908208,0.3189739496965894,0.5492615200742018,0.550570654887636,0.5488415036569243,0.5513532340348275
1,1.172751847586353,0.0273969162216258,3.5516859972820383,2.4487741088867225,0.4017963073545214,0.5053184018307655,0.49237077087568004,0.5118316703927287,0.45778167882688864
1,1.0862085632443892,0.0253523007326425,3.8987666767594873,2.969962768554688,0.6244010471451411,0.5361460968994698,0.5336145350733899,0.5371338712135068,0.5297529610335334
1,1.211647190830053,0.0220866389644212,2.55054189639024,2.290520019531253,0.5323472025317312,0.5995619874831174,0.5976477249892427,0.5996995854069646,0.599136686163109
1,1.2792526666627522,0.0227827335026918,2.5795687355069616,2.135628204345705,0.567843369194684,0.643797358771559,0.6432665683976921,0.6428324999661207,0.6500604123653293
1,1.2224539423010148,0.0222378526046837,2.3453646247609226,1.9928581237793013,0.5104861108961538,0.6069026106094924,0.6048542050535674,0.6069766026827035,0.6060686430943645
0,1.3543431893884972,0.0156109971673456,1.424306817496545,1.769619140625004,0.3081457249956634,0.6238424033237477,0.6195879483601765,0.6256574352667724,0.6095472777051003
1,1.2453824893380463,0.0141436670723418,1.1279789564689329,1.510673675537107,0.3754961645058663,0.6154509348591031,0.6163039030458803,0.6146098112327412,0.6203827124885091
1,1.2604344209987572,0.0184546289523407,1.928154364156135,2.109141082763672,0.4391075453867918,0.6077841901677776,0.6055486525122834,0.6083406052065414,0.604239352711465
0,1.2393616602692747,0.0115066508216194,0.7926696851037616,1.400305328369144,0.336509325938219,0.6122913649723596,0.614193534794234,0.6111576349605475,0.6191441636924891
